rank,name,country_name,country_id,opponent_name,opponent_country_name,opponent_country_id,date,tournament,level,bestOf,surface,indoor,speed,round,score,winner,value,outcome
644,Sam Querrey,United States,USA,Kevin Anderson,South Africa,RSA,09/04/2012,Houston,B,3,C,FAUX,29,R16,7-6(3) 3-6 7-6(2),FAUX,11,
644,Sam Querrey,United States,USA,Alex Bogomolov Jr,Russian Federation,RUS,09/07/2012,Newport,B,3,G,FAUX,60,R32,7-5 7-6(5),VRAI,11,
644,Sam Querrey,United States,USA,Zhe Li,China,CHN,07/10/2012,Shanghai Masters,M,3,H,FAUX,66,R64,6-3 6-1,VRAI,11,
644,Sergiy Stakhovsky,Ukraine,UKR,Dustin Brown,Germany,GER,16/07/2012,Gstaad,B,3,C,FAUX,43,R32,3-6 6-4 7-6(8),FAUX,11,
644,Sergiy Stakhovsky,Ukraine,UKR,Marin Cilic,Croatia,CRO,12/08/2012,Cincinnati Masters,M,3,H,FAUX,61,R64,6-3 4-6 6-4,FAUX,11,
644,Sergiy Stakhovsky,Ukraine,UKR,Lleyton Hewitt,Australia,AUS,25/07/2012,London Olympics,O,3,G,FAUX,87,R64,6-3 4-6 6-3,FAUX,11,
644,Stan Wawrinka,Switzerland,SUI,Jeremy Chardy,France,FRA,27/02/2012,Acapulco,A,3,C,FAUX,36,QF,7-5 6-1,VRAI,11,
644,Tatsuma Ito,Japan,JPN,Julien Benneteau,France,FRA,11/06/2012,Queen's Club,B,3,G,FAUX,73,R32,5-7 6-4 7-5,FAUX,11,
644,Tomas Berdych,Czech Republic,CZE,Kevin Anderson,South Africa,RSA,06/05/2012,Madrid Masters,M,3,C,FAUX,67,R32,6-4 6-3,VRAI,11,
644,Tomas Berdych,Czech Republic,CZE,Jurgen Zopp,Estonia,EST,15/10/2012,Stockholm,B,3,H,VRAI,63,R16,6-1 6-4,VRAI,11,
